id,platform,title,text,author,created_utc,score,num_comments,url
UgyC21emt0-vc_KaNhx4AaABAg,youtube,,"Damn this is amazing, why aren't all ads like this.

Edit: Over 93k comments damn I'm gonna get lost in the thick of it.",@FunStuffXD,2025-11-17 06:23:26,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyC21emt0-vc_KaNhx4AaABAg
UgwJq466_gyva82UT-B4AaABAg,youtube,,"my friend use this as a monologue for her theatre audition, and now the director only knows her as the corn girl",@froggy_13719,2025-11-17 02:31:38,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwJq466_gyva82UT-B4AaABAg
UgyL-qjnaoxfJwprZYV4AaABAg,youtube,,WHAT THE HELL IS CAPTIONS DOING CUUHH,@Codo2192,2025-11-16 06:51:45,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyL-qjnaoxfJwprZYV4AaABAg
UgyeafgsveZCqWfub5J4AaABAg,youtube,,@jax here u go jax☺ this is for you😝,@therealblossomppg,2025-11-16 05:29:15,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyeafgsveZCqWfub5J4AaABAg
UgwJ63ENIKvdhxNyF5R4AaABAg,youtube,,This kids school had a project based on the food groups and he chose veggies but his  mom was a poor influence  and taught him things that he shouldn't know,@FrostyTheegg,2025-11-14 05:59:12,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwJ63ENIKvdhxNyF5R4AaABAg
UgykuP6lx9zF7zLvSIx4AaABAg,youtube,,This is my favorite YouTube video ever,@JulieCutcher,2025-11-13 14:08:33,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgykuP6lx9zF7zLvSIx4AaABAg
UgwsuKTMUejIwLvyNOR4AaABAg,youtube,,I watch this at lest 1 time a day,@Nicholas-k2m4g,2025-11-13 04:12:56,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwsuKTMUejIwLvyNOR4AaABAg
UgyQE-I4kxKbSJy8bdN4AaABAg,youtube,,I love CORN❤❤,@MainVillager,2025-11-12 15:35:39,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyQE-I4kxKbSJy8bdN4AaABAg
UgzMW6AlEpmo0Spehdl4AaABAg,youtube,,I’ve been watching corn 🌽,@Chona-c7v,2025-11-12 01:25:56,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgzMW6AlEpmo0Spehdl4AaABAg
Ugwqb3tR5KvsduIYj2R4AaABAg,youtube,,I REMEMBER THISSSSSSS. OMG,@dezhdaAnkrom,2025-11-11 23:35:22,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugwqb3tR5KvsduIYj2R4AaABAg
Ugx8ZHS3DAwPh81I02p4AaABAg,youtube,,saw ts in wsc twice,@d0young27,2025-11-11 19:47:12,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugx8ZHS3DAwPh81I02p4AaABAg
UgzNxwjv7NXV1yUUPst4AaABAg,youtube,,the subtitles on this part 0:16  🥀🎋,@epikfaceguy,2025-11-11 10:23:28,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgzNxwjv7NXV1yUUPst4AaABAg
UgyZiY70nUpj3a8VHQF4AaABAg,youtube,,Colonel corneleus 🟰🟰,@BunsoyLiam,2025-11-11 10:07:07,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyZiY70nUpj3a8VHQF4AaABAg
Ugwe4hzOJNBuygWVjR54AaABAg,youtube,,“welcome to meeple” lookin ahh,@HawaiianVRYT,2025-11-11 03:23:05,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugwe4hzOJNBuygWVjR54AaABAg
UgylvpkuQ2Ctz9u42s14AaABAg,youtube,,I never knew it was Charlie until like 7 years later,@DAnGerousFirerrrHazard224,2025-11-10 02:14:32,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgylvpkuQ2Ctz9u42s14AaABAg
UgziXlJptCJHSfkwPNB4AaABAg,youtube,,okay cool,@siranosirato,2025-11-09 21:43:59,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgziXlJptCJHSfkwPNB4AaABAg
Ugyv9fr9xEWv-1o-taJ4AaABAg,youtube,,How did this end up in my recommended in 2025?,@Dahahafunnibear2012,2025-11-08 16:00:58,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugyv9fr9xEWv-1o-taJ4AaABAg
Ugxi-rwJqbVQgHB5b8x4AaABAg,youtube,,WELL WELL WELL NIGGA ALWAYS WATCHING PORN MADE A VID ABOUT CORN,@alichahin5055,2025-11-08 01:16:51,0,2,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugxi-rwJqbVQgHB5b8x4AaABAg
UgwkZvi9npSYNW12h1J4AaABAg,youtube,,What a cornball lol,@TheBindu-mc,2025-11-08 00:47:07,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwkZvi9npSYNW12h1J4AaABAg
Ugyp04RwE-NWNr0rDJl4AaABAg,youtube,,"6 years later, this is still a masterpiece by young charlie 😭",@s3v_1new3y,2025-11-07 13:08:14,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugyp04RwE-NWNr0rDJl4AaABAg
UgyB6PdCoB-81v1Qpxp4AaABAg,youtube,,the algorithm hit me with a classic today!,@hate6crew6death6roll,2025-11-07 04:24:51,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyB6PdCoB-81v1Qpxp4AaABAg
UgwNCrXPsrPZuDtnikt4AaABAg,youtube,,Brother why did my friend play this at school for his 4h speech,@mr.curious7005,2025-11-06 20:37:10,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwNCrXPsrPZuDtnikt4AaABAg
UgzComPZIBfWj-4bxm14AaABAg,youtube,,Ts before pandemic 😢,@kratos5734,2025-11-06 14:01:08,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgzComPZIBfWj-4bxm14AaABAg
UgzpLwml4PjBqQWh8gN4AaABAg,youtube,,Thanks charlie.,@strwberrycremecake,2025-11-06 05:41:50,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgzpLwml4PjBqQWh8gN4AaABAg
UgyjDXAN5v43rciXwoR4AaABAg,youtube,,I love the Shutterstock watermark in the background,@Gl1tchyYAHOO,2025-11-05 20:24:44,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyjDXAN5v43rciXwoR4AaABAg
Ugw66mf-tRFtrx9NH3F4AaABAg,youtube,,corn,@bic-t7n,2025-11-05 15:12:16,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugw66mf-tRFtrx9NH3F4AaABAg
UgzByJKFXm7B6MhtMG94AaABAg,youtube,,hell yeah dopici,@MatúšBrezáni-i3z,2025-11-05 08:58:31,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgzByJKFXm7B6MhtMG94AaABAg
UgxEthVhUFtpTHJ7vdF4AaABAg,youtube,,"krasne, velmi sa mi to paci, marujem si nad tym",@MatúšBrezáni-i3z,2025-11-05 08:50:44,3,1,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgxEthVhUFtpTHJ7vdF4AaABAg
UgzR2AL39KtIKTHfgFV4AaABAg,youtube,,Wtf,@lunakittyx3,2025-11-05 07:44:42,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgzR2AL39KtIKTHfgFV4AaABAg
Ugz3xU6QyrwxeXzuwMp4AaABAg,youtube,,youre so popular that this video was on my library's tv as a recommendation for a video to play,@itzBlue_X3,2025-11-04 21:42:01,2,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugz3xU6QyrwxeXzuwMp4AaABAg
UgwQY0fYm0-wyUiCOpx4AaABAg,youtube,,Zoomers will mistaken this as Porn for some reason.,@Spookhunter7,2025-11-04 05:17:57,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwQY0fYm0-wyUiCOpx4AaABAg
UgwRSwJ0wYeeFSMNCvR4AaABAg,youtube,,c o r n,@TheTrueRanga,2025-11-04 03:15:57,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwRSwJ0wYeeFSMNCvR4AaABAg
UgwMUaJDF3U9NevNhMJ4AaABAg,youtube,,It’s been 6 years and this is still the greatest interpretation of the Midwest I have ever seen in any form of media,@Ash_404_He-They,2025-11-03 19:22:39,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwMUaJDF3U9NevNhMJ4AaABAg
UgwXTCYwrBSOkpHX8PF4AaABAg,youtube,,Corn,@HauYeungWONG,2025-11-02 10:52:01,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwXTCYwrBSOkpHX8PF4AaABAg
Ugz-KV0UGt__Io9rRJF4AaABAg,youtube,,No way its been _6_ years,@NotGermanGuy,2025-10-31 15:28:58,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugz-KV0UGt__Io9rRJF4AaABAg
UgzGXF8ZeOGbVc1_-hF4AaABAg,youtube,,corn,@MasterGamingRobloxer_RB,2025-10-30 20:19:07,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgzGXF8ZeOGbVc1_-hF4AaABAg
Ugxd9uGGp9jSu6KOQsV4AaABAg,youtube,,"As a nebraskan, thank you.",@IAmJome,2025-10-30 15:44:02,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugxd9uGGp9jSu6KOQsV4AaABAg
UgyoHYeUnpFUAsSNnDp4AaABAg,youtube,,Peak male humour,@Minos-l1d,2025-10-30 10:35:48,0,1,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyoHYeUnpFUAsSNnDp4AaABAg
Ugx5jNWYvbtJMZnru194AaABAg,youtube,,How the corn was this recommend so many years later,@Teamvoid6674,2025-10-28 23:59:44,2,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugx5jNWYvbtJMZnru194AaABAg
Ugw8RF0Xl_NyWk8xSe14AaABAg,youtube,,KoRn,@AkameReiran-d9g,2025-10-28 17:20:06,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugw8RF0Xl_NyWk8xSe14AaABAg
Ugz6cfTSl-IyFK9syI14AaABAg,youtube,,the most corny video,@hol-c1u,2025-10-27 23:02:30,2,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugz6cfTSl-IyFK9syI14AaABAg
UgxDrYXU6PqMf-0tP6h4AaABAg,youtube,,why do i keep comming back too this,@mr.k4918,2025-10-27 18:02:11,1,1,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgxDrYXU6PqMf-0tP6h4AaABAg
UgxlS8qtCLe6CfDBPsZ4AaABAg,youtube,,a classic,@goombaplaylists132,2025-10-27 17:36:17,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgxlS8qtCLe6CfDBPsZ4AaABAg
UgyoYbUUYNMMHrlG7D14AaABAg,youtube,,This is the type of shit that gets recommended 12 years later,@PreppyEva27,2025-10-26 18:17:48,3,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyoYbUUYNMMHrlG7D14AaABAg
UgzffhF0YgmE-PGMaLV4AaABAg,youtube,,2025 still amazing,@Twili142,2025-10-26 02:50:09,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgzffhF0YgmE-PGMaLV4AaABAg
UgyI0-dSD8rOy8rONIt4AaABAg,youtube,,Jax: AAAAÆEAEEEEEAEEE,@Alyssa-idrk,2025-10-26 00:32:01,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyI0-dSD8rOy8rONIt4AaABAg
UgzcG3pC-xDOqCX7eTV4AaABAg,youtube,,Don’t turn on captions,@king_banana920,2025-10-24 11:46:56,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgzcG3pC-xDOqCX7eTV4AaABAg
UgyxWlf-uuofVdNJIQl4AaABAg,youtube,,The fact he says incredible instead of amazing is still my favorite joke in this video,@tristandoud4131,2025-10-24 05:58:00,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyxWlf-uuofVdNJIQl4AaABAg
UgwtYJ4h9geSejLji2h4AaABAg,youtube,,0:12 CORNIULS?? That’s where I am,@Sofia-h5n6c,2025-10-21 23:15:50,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwtYJ4h9geSejLji2h4AaABAg
UgyqZXAg_z_u0UoYqx54AaABAg,youtube,,"I remember seeing this in late middle school after hearing a couple older students talking about it. I thought they were so cool because they were drinking coffee. Now I'm renting, engaged, and working on an online business.😊",@jonathanmarroquin1020,2025-10-21 21:45:15,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyqZXAg_z_u0UoYqx54AaABAg
UgxnhpIuh2H7uzpnCD14AaABAg,youtube,,Corn is a North American cereal plant that yields large kernels on a cob. It is also called maize because it’s easy to get lost in its amazing fla-vour.,@Thom_Foolery,2025-10-21 18:38:58,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgxnhpIuh2H7uzpnCD14AaABAg
UgxwBLg5VAwlr0ExVE14AaABAg,youtube,,This video will always come back to me when my fyp looks dry,@connerimana-8592,2025-10-21 06:24:30,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgxwBLg5VAwlr0ExVE14AaABAg
UgysjJZrD2iL9zD4xJB4AaABAg,youtube,,0:27,@wanglin3833,2025-10-21 04:56:46,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgysjJZrD2iL9zD4xJB4AaABAg
UgwmNDrx6s6AV01D3jR4AaABAg,youtube,,"Almost 7 years later and I'm still tearing up every time I watch this, pure cinema.",@eachgen,2025-10-21 04:00:39,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwmNDrx6s6AV01D3jR4AaABAg
Ugw7szQ4CWFcfXO-kVx4AaABAg,youtube,,0:36 That's now gonna be something I'll quote often.,@Spongesissponges,2025-10-20 12:07:45,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugw7szQ4CWFcfXO-kVx4AaABAg
Ugx0FKhipthrkZAea1d4AaABAg,youtube,,porn.,@AssBeater82648,2025-10-19 18:50:44,1,3,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugx0FKhipthrkZAea1d4AaABAg
UgwwUgOeY1BP2VQNwBJ4AaABAg,youtube,,corn,@JupiterThePlanet,2025-10-19 14:18:20,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwwUgOeY1BP2VQNwBJ4AaABAg
Ugz84KTOtYlxPXYqzx14AaABAg,youtube,,reciting this to my friend on our way to get hopelessly lost in the corn maze and sacrificed to the corn spirits,@titan_titration,2025-10-19 07:57:12,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugz84KTOtYlxPXYqzx14AaABAg
UgyfgIFImN6qUWenJhh4AaABAg,youtube,,"2025
👇",@d.i.a.h8955Chickenyah,2025-10-18 23:03:27,3,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyfgIFImN6qUWenJhh4AaABAg
Ugz9nc6dvt2sXA6MrzV4AaABAg,youtube,,commenting corn everyday until my comment gets popular day 1: corn,@AliTheGuyVR41,2025-10-18 22:13:13,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugz9nc6dvt2sXA6MrzV4AaABAg
Ugyk8pqo8PEQgGZrUcF4AaABAg,youtube,,The captions at 0:15 oh my god!!! 😂,@jasonhaines9872,2025-10-18 21:41:01,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugyk8pqo8PEQgGZrUcF4AaABAg
UgwYu674TmJESESaMtN4AaABAg,youtube,,imagine be corn hub in this video it's not inappropriate guys,@Gasty-GZ,2025-10-17 00:21:51,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgwYu674TmJESESaMtN4AaABAg
UgxFAvGRwFuLXutO-Sp4AaABAg,youtube,,maïs,@AetherMalaques,2025-10-16 22:46:49,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgxFAvGRwFuLXutO-Sp4AaABAg
UgxRb-Ox4y3er6ZmCYt4AaABAg,youtube,,When did paddy's accent become so good,@echioraoda3675,2025-10-16 15:17:34,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgxRb-Ox4y3er6ZmCYt4AaABAg
UgyP11v9wcWP2qVYa2B4AaABAg,youtube,,Cornball (literally),@pandemonium-u3w,2025-10-16 03:19:17,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgyP11v9wcWP2qVYa2B4AaABAg
UgzR0SbT50qkmlf8cZN4AaABAg,youtube,,Jack core,@Cameranoas,2025-10-16 02:17:22,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgzR0SbT50qkmlf8cZN4AaABAg
UgxW2k3KMqhEE6Gz-614AaABAg,youtube,,Fun fact: this was a college homework assignment,@Sirjuiceski,2025-10-16 01:49:53,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgxW2k3KMqhEE6Gz-614AaABAg
Ugy0qOvaicADDatDN9J4AaABAg,youtube,,"I remember watching this when I was seven. Also, I got an add for corn on this 💖",@Remarkableplant,2025-10-16 00:59:28,1,2,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugy0qOvaicADDatDN9J4AaABAg
Ugzr56Ze5p08CNSDo4R4AaABAg,youtube,,"No one:
The closed captioning:
""I'm here today to introduce you to porn""",@The-MaskedFool,2025-10-15 23:24:41,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugzr56Ze5p08CNSDo4R4AaABAg
UgxbxW_gZSOw3L47RAh4AaABAg,youtube,,WHERE IS THE ou mah brrrr ra da mmba eeeeenba brrr rat da nnda enda boo..rata teek um blura brrrr ra..duck ba dingo ba bitty ah ta freeta beeta ooh ra subuh dee ma ooh..rrrr reema ya me maraha suh bit ra da eemah a hin ta boo ra da eee wazizza ooh..ra suh ma heen na neena renaha..ooh hoo ra..ya da bin boorrrrra!,@amirgamery,2025-10-15 14:08:23,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgxbxW_gZSOw3L47RAh4AaABAg
UgxXHOkDI4ROycAd0VB4AaABAg,youtube,,Jonathan Davis really appreciates this,@IsadoraJurassicPark,2025-10-15 01:08:18,1,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=UgxXHOkDI4ROycAd0VB4AaABAg
Ugx0dMxdzzemrq0Ya_14AaABAg,youtube,,Steve Cobs wth...,@ratsondecasexd,2025-10-14 08:32:15,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugx0dMxdzzemrq0Ya_14AaABAg
Ugylz1f-eX5Ngej51Uh4AaABAg,youtube,,finding out that the guy in the corn video was Charlie Fucking Slimecicle  was the most insane experience of my life. i genuinely stopped functioning for a solid 5 minutes.,@kinkajouonthebrain,2025-10-14 06:37:41,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugylz1f-eX5Ngej51Uh4AaABAg
Ugzj3ltRwY77tLOYWxJ4AaABAg,youtube,,What in the Tim and Eric is this?,@masterseal0418,2025-10-13 22:41:29,0,0,https://youtube.com/watch?v=j8qp3ITVqY0&lc=Ugzj3ltRwY77tLOYWxJ4AaABAg
