id,platform,title,text,author,created_utc,score,num_comments,url
UgzzeUmml8Z-Ev0IjSN4AaABAg,youtube,,"🔥Want to master Python? Get my Python mastery course: https://mosh.link/python-course
📕Get my FREE Python cheat sheet: https://mosh.link/python-cheatsheet
⭐Python Projects for Beginners: https://youtu.be/yVl_G-F7m8c?si=11emtFyDccTKCGn7
👍Subscribe for more Python tutorials like this: https://goo.gl/6PYaGF",@programmingwithmosh,2024-08-02 16:03:17,703,97,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgzzeUmml8Z-Ev0IjSN4AaABAg
UgzPRKqEgHos6_Us8CV4AaABAg,youtube,,Hi pls am learning phython for my cyber security career which am building an a student can u give a well explanation to phython relating to cyber security,@rickyrichie,2025-11-17 12:05:22,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgzPRKqEgHos6_Us8CV4AaABAg
Ugxz5eKC914L0mVdcxl4AaABAg,youtube,,This is a good quality video. Great Job Mosh!,@ttt7614,2025-11-17 08:44:46,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugxz5eKC914L0mVdcxl4AaABAg
UgyOqioqulr9xkjD0pB4AaABAg,youtube,,Im learning python for ML & AI,@Risefuel_gk,2025-11-16 23:08:09,1,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgyOqioqulr9xkjD0pB4AaABAg
Ugzx6lz1FPMdbvX2w8F4AaABAg,youtube,,This is a solid explanation.,@GuyaMwyatra,2025-11-16 23:02:33,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugzx6lz1FPMdbvX2w8F4AaABAg
UgxMN70AvR3uGnDR99t4AaABAg,youtube,,"Does anyone have an updated promo code for the ""free"" PyCharm that's listed in lesson 1 of the Python Course? The code given is MOSH_COURSES but that doesn't work.",@71rambler,2025-11-16 04:47:54,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxMN70AvR3uGnDR99t4AaABAg
UgwIaJ22vr985_rphGF4AaABAg,youtube,,"Where are you now...in 2025
Explain ,",@impunam010,2025-11-15 21:13:16,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgwIaJ22vr985_rphGF4AaABAg
UgyXg3BnM051xi4-Hbl4AaABAg,youtube,,"Hi Mosh, I'm here in 2025
I want to use python in machine learning and AI, any help with that",@FelixKonadu-l4k,2025-11-15 18:37:48,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgyXg3BnM051xi4-Hbl4AaABAg
UgyxAJZWkDqHSClC-_J4AaABAg,youtube,,Starting today I'm learning python and watching this vid because I am hoping to step into the coding world and since I'm in 8th grade this should be a nice time to start. Wish me luck guys (Today is 15/11/2025 ; Finished till 37:36 ),@UmarAhmad-cc8lm,2025-11-15 13:47:53,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgyxAJZWkDqHSClC-_J4AaABAg
Ugw-feHX44jyi7EMUDF4AaABAg,youtube,,So those { } placeholders we insert in order enter a certain value into our string ? So like age or name right ? PS. I m a total beginner.,@rozahorowitz7278,2025-11-15 11:28:41,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugw-feHX44jyi7EMUDF4AaABAg
Ugz501wVfAAEWiiDdjR4AaABAg,youtube,,THIS  is TOTALLY DUBBED,@ArnavMishra-x3j3d,2025-11-15 07:10:59,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugz501wVfAAEWiiDdjR4AaABAg
Ugw7um1FbjPXu5ormxl4AaABAg,youtube,,sir i want to pursue my carrier as a data engineer would you please guide . am i on the right course and right path??,@RajaKhan-x1f5u,2025-11-14 20:27:37,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugw7um1FbjPXu5ormxl4AaABAg
Ugzv5VXi73eIZSEq6Ld4AaABAg,youtube,,Just Masterpiece👌,@HIDE_GAMING_01,2025-11-14 14:38:11,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugzv5VXi73eIZSEq6Ld4AaABAg
Ugy58fIspF-TDYob89x4AaABAg,youtube,,"really really deserved ,thank you sir",@DibashBhandari-u8g,2025-11-14 13:55:51,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugy58fIspF-TDYob89x4AaABAg
